Gmt time,Open,High,Low,Close,Volume
01.02.2020 00:00:00.000,1.32014,1.32014,1.32014,1.32014,0
02.02.2020 00:00:00.000,1.31766,1.31837,1.31717,1.31807,6864.23
03.02.2020 00:00:00.000,1.31806,1.31820,1.29827,1.29963,159820.5313
04.02.2020 00:00:00.000,1.29963,1.30464,1.29410,1.30302,165907.2656
05.02.2020 00:00:00.000,1.30302,1.30697,1.29560,1.29949,166000.5156
06.02.2020 00:00:00.000,1.29949,1.29986,1.29211,1.29299,129987.0391
07.02.2020 00:00:00.000,1.29296,1.29589,1.28813,1.28818,150635.3438
08.02.2020 00:00:00.000,1.28818,1.28818,1.28818,1.28818,0
09.02.2020 00:00:00.000,1.28843,1.28916,1.28822,1.28893,5662.25
10.02.2020 00:00:00.000,1.28894,1.29459,1.28716,1.29154,131171.0781
11.02.2020 00:00:00.000,1.29154,1.29679,1.28941,1.29557,129965.5234
12.02.2020 00:00:00.000,1.29554,1.29914,1.29511,1.29573,816804.125
13.02.2020 00:00:00.000,1.29574,1.30693,1.29439,1.30447,901462.6875
14.02.2020 00:00:00.000,1.30445,1.30634,1.30009,1.30455,618435.1875
15.02.2020 00:00:00.000,1.30455,1.30455,1.30455,1.30455,0
16.02.2020 00:00:00.000,1.30324,1.30537,1.30295,1.30509,3331.49
17.02.2020 00:00:00.000,1.30509,1.30510,1.29977,1.30055,101692.5234
18.02.2020 00:00:00.000,1.30055,1.30486,1.29705,1.29987,155992.875
19.02.2020 00:00:00.000,1.29987,1.30229,1.29072,1.29255,147418.8594
20.02.2020 00:00:00.000,1.29255,1.29281,1.28488,1.28803,121766.1406
21.02.2020 00:00:00.000,1.28803,1.29806,1.28785,1.29529,155388.3281
22.02.2020 00:00:00.000,1.29529,1.29529,1.29529,1.29529,0
23.02.2020 00:00:00.000,1.29449,1.29543,1.29423,1.29513,5764.25
24.02.2020 00:00:00.000,1.29513,1.29540,1.28864,1.29239,171197.4688
25.02.2020 00:00:00.000,1.29238,1.30179,1.29140,1.30020,184183.9063
26.02.2020 00:00:00.000,1.30020,1.30077,1.28927,1.29054,192236.5469
27.02.2020 00:00:00.000,1.29055,1.29462,1.28599,1.28870,214339.5469
28.02.2020 00:00:00.000,1.28870,1.29195,1.27255,1.28125,246793.5313
29.02.2020 00:00:00.000,1.28125,1.28125,1.28125,1.28125,0
01.03.2020 00:00:00.000,1.27879,1.28219,1.27746,1.28038,10811.4102
02.03.2020 00:00:00.000,1.28039,1.28503,1.27387,1.27660,260818.5938
03.03.2020 00:00:00.000,1.27660,1.28438,1.27581,1.28194,268493.6875
04.03.2020 00:00:00.000,1.28195,1.28725,1.27698,1.28707,190665.9531
05.03.2020 00:00:00.000,1.28707,1.29683,1.28603,1.29487,168991.9531
06.03.2020 00:00:00.000,1.29489,1.30517,1.29488,1.30459,261299.75
07.03.2020 00:00:00.000,1.30459,1.30459,1.30459,1.30459,0
08.03.2020 00:00:00.000,1.30726,1.31053,1.30691,1.30960,16279.1504
09.03.2020 00:00:00.000,1.30958,1.32003,1.30342,1.30726,353341.0938
10.03.2020 00:00:00.000,1.30727,1.30884,1.28654,1.29048,319238.3125
11.03.2020 00:00:00.000,1.29048,1.29765,1.28035,1.28168,236868.7031
12.03.2020 00:00:00.000,1.28166,1.28487,1.24899,1.25708,330143.0938
13.03.2020 00:00:00.000,1.25706,1.26240,1.22597,1.22673,345659.5313
