Gmt time,Open,High,Low,Close,Volume
01.02.2020 00:00:00.000,1.10944,1.10944,1.10944,1.10944,0
02.02.2020 00:00:00.000,1.10939,1.10939,1.10813,1.10890,4187.0352
03.02.2020 00:00:00.000,1.10890,1.10890,1.10356,1.10623,134304.0469
04.02.2020 00:00:00.000,1.10623,1.10641,1.10328,1.10446,113725.5781
05.02.2020 00:00:00.000,1.10449,1.10479,1.09937,1.10003,122270.9844
06.02.2020 00:00:00.000,1.10003,1.10138,1.09644,1.09806,102177.7266
07.02.2020 00:00:00.000,1.09809,1.09849,1.09419,1.09438,130363.4219
08.02.2020 00:00:00.000,1.09438,1.09438,1.09438,1.09438,0
09.02.2020 00:00:00.000,1.09439,1.09507,1.09419,1.09491,3793.48
10.02.2020 00:00:00.000,1.09491,1.09574,1.09076,1.09101,103251.9531
11.02.2020 00:00:00.000,1.09103,1.09248,1.08913,1.09189,96173.7422
12.02.2020 00:00:00.000,1.09187,1.09255,1.08654,1.08756,252568.2656
13.02.2020 00:00:00.000,1.08755,1.08887,1.08340,1.08413,336729.9375
14.02.2020 00:00:00.000,1.08415,1.08611,1.08271,1.08299,118368.1875
15.02.2020 00:00:00.000,1.08299,1.08299,1.08299,1.08299,0
16.02.2020 00:00:00.000,1.08406,1.08416,1.08355,1.08411,3465.9651
17.02.2020 00:00:00.000,1.08411,1.08509,1.08291,1.08366,74832.8672
18.02.2020 00:00:00.000,1.08365,1.08372,1.07854,1.07949,131588.6406
19.02.2020 00:00:00.000,1.07949,1.08115,1.07822,1.08096,105152.0547
20.02.2020 00:00:00.000,1.08095,1.08211,1.07778,1.07875,154014.5938
21.02.2020 00:00:00.000,1.07875,1.08635,1.07871,1.08456,187666.0156
22.02.2020 00:00:00.000,1.08456,1.08456,1.08456,1.08456,0
23.02.2020 00:00:00.000,1.08145,1.08419,1.08132,1.08384,7690.5391
24.02.2020 00:00:00.000,1.08385,1.08720,1.08050,1.08485,174355.625
25.02.2020 00:00:00.000,1.08485,1.08902,1.08300,1.08797,183218.0938
26.02.2020 00:00:00.000,1.08796,1.09086,1.08549,1.08864,188216.9688
27.02.2020 00:00:00.000,1.08865,1.10064,1.08848,1.09963,216943.1094
28.02.2020 00:00:00.000,1.09964,1.10530,1.09509,1.10251,247670.5938
29.02.2020 00:00:00.000,1.10251,1.10251,1.10251,1.10251,0
01.03.2020 00:00:00.000,1.10423,1.10739,1.10393,1.10515,7536.564
02.03.2020 00:00:00.000,1.10516,1.11845,1.10362,1.11443,247052.4375
03.03.2020 00:00:00.000,1.11443,1.12134,1.10953,1.11765,214838.0938
04.03.2020 00:00:00.000,1.11765,1.11875,1.10955,1.11380,163854.0625
05.03.2020 00:00:00.000,1.11382,1.12447,1.11195,1.12224,194619.3281
06.03.2020 00:00:00.000,1.12224,1.13546,1.12112,1.12804,236551.75
07.03.2020 00:00:00.000,1.12804,1.12804,1.12804,1.12804,0
08.03.2020 00:00:00.000,1.13473,1.13963,1.13350,1.13876,17976.084
09.03.2020 00:00:00.000,1.13876,1.14954,1.13559,1.13989,291479.4063
10.03.2020 00:00:00.000,1.13989,1.14251,1.12749,1.13136,263070.7188
11.03.2020 00:00:00.000,1.13136,1.13667,1.12501,1.12611,198250.0469
12.03.2020 00:00:00.000,1.12612,1.13336,1.10550,1.11823,262646.9375
13.03.2020 00:00:00.000,1.11822,1.12213,1.10550,1.10992,229638.6094
14.03.2020 00:00:00.000,1.10992,1.10992,1.10992,1.10992,0
15.03.2020 00:00:00.000,1.10705,1.11996,1.10705,1.11560,30714.8027
16.03.2020 00:00:00.000,1.11560,1.12366,1.10849,1.11633,278539.5313
17.03.2020 00:00:00.000,1.11632,1.11891,1.09550,1.10160,277084.4063
18.03.2020 00:00:00.000,1.10161,1.10451,1.08016,1.09442,323485.1875
19.03.2020 00:00:00.000,1.09442,1.09490,1.06542,1.06544,299824.7813
20.03.2020 00:00:00.000,1.06543,1.08309,1.06375,1.06929,470351.5625
21.03.2020 00:00:00.000,1.06929,1.06929,1.06929,1.06929,0
22.03.2020 00:00:00.000,1.07011,1.07044,1.06357,1.06886,36030.2383
23.03.2020 00:00:00.000,1.06886,1.08279,1.06577,1.07635,443008.25
24.03.2020 00:00:00.000,1.07633,1.08879,1.07457,1.07977,343182.5625
25.03.2020 00:00:00.000,1.07978,1.08938,1.07599,1.08884,296546.4375
26.03.2020 00:00:00.000,1.08882,1.10589,1.08742,1.10475,281315.5938
27.03.2020 00:00:00.000,1.10475,1.11473,1.09533,1.11379,250774.625
28.03.2020 00:00:00.000,1.11379,1.11379,1.11379,1.11379,0
